
"IDCOTIZA","IDCLTE","FECHA","STATUS","VALOR_USD","VALOR_MXP","IDUSRELAB","IDUSRVEND","CDMESS","OV","PO","DESCRIPCION","FECHAOV","ID_SOLICITUD","FECHA_ELABORA_SOLICITUD","FECHA_ASIGNACION_SOLICITUD","IDCONTACTO","id","CANT","PROYECTO","MARCA","MOCELO","SERIE"
"1-2023","685","2023-01-02 06:52:41","Canceladas","600.000000","11616.9000000000","175","229","L1-20","SIN OV","SIN PO","Medición con requerimientos específicos. Servicio con Acreditación EMA.","","MESS-SCT-11644-2022","2022-12-29 22:15:16","2022-12-30 08:12:54","-","82019","1","58047","-","-","-"
"1-2023","685","2023-01-02 06:52:41","Canceladas","600.000000","11616.9000000000","175","229","L1-20","SIN OV","SIN PO","Medición con requerimientos específicos. Servicio con Acreditación EMA.","","MESS-SCT-11644-2022","2022-12-29 22:15:16","2022-12-30 08:12:54","-","82019","1","58047","-","-","-"
"7690-2022","1614","2022-06-29 08:20:23","Canceladas","1000.000000","19984.7000000000","120","44","S2-114","SIN OV","SIN PO","Servicio de Mantenimiento Preventivo","","MESS-SCT-5962-2022","2022-06-28 18:01:35","2022-06-29 07:42:08","-","74425","1","51724","-","-","-"
"10460-2022","5579","2022-08-30 14:11:15","Perdidas","175.999900","3519.0300000000","125","361","P28-140","SIN OV","SIN PO","60HRB, Rockwell Test Block, Carbide","","MESS-SCT-8011-2022","2022-08-29 16:19:52","2022-12-29 13:58:39","-","77195","1","53982","-","-","-"
"9862-2022","173","2022-08-17 15:45:25","Canceladas","7246.000000","144414.9538000000","230","44","P27-59","SIN OV","SIN PO","EcoMet 30 Single Manual","","MESS-SCT-7571-2022","2022-08-16 19:15:18","2022-08-17 08:18:22","-","76597","1","53506","-","-","-"
"9862-2022","173","2022-08-17 15:45:25","Canceladas","672.000000","13393.1616000000","230","44","P29-1182","SIN OV","SIN PO","EcoMet 30 Platen Accessory Kit, 10in","","MESS-SCT-7571-2022","2022-08-16 19:15:18","2022-08-17 08:18:22","-","76597","1","53506","-","-","-"
"9862-2022","173","2022-08-17 15:45:25","Canceladas","110.000000","2192.3330000000","230","44","P29-1137","SIN OV","SIN PO","Paper Holding Band, 10in","","MESS-SCT-7571-2022","2022-08-16 19:15:18","2022-08-17 08:18:22","-","76597","1","53506","-","-","-"
"3-2023","735","2023-01-02 09:33:55","Canceladas","950.000000","18497.9250000000","175","159","S6-6","SIN OV","SIN PO","Servicio de medición por día con Software Polyworks. Entrega de informe de medición en formato (.PDF).","","MESS-SCT-1-2023","2023-01-02 08:54:41","2023-01-02 09:30:00","-","82021","1","58053","-","-","-"
"15124-2022","2787","2022-12-21 10:26:25","Ganadas","220.000000","4344.6040000000","175","357","L1-20","88-2023","732950","Medición con requerimientos específicos. Servicio con Acreditación EMA.","2023-01-06 08:19:21","MESS-SCT-11544-2022","2022-12-21 09:54:06","2022-12-21 09:56:24","-","81859","1","57932","Sin referencia","Sin referencia","Sin referencia"
"15124-2022","2787","2022-12-21 10:26:25","Ganadas","220.000000","4344.6040000000","175","357","L1-20","88-2023","732950","Medición con requerimientos específicos. Servicio con Acreditación EMA.","2023-01-06 08:19:21","MESS-SCT-11544-2022","2022-12-21 09:54:06","2022-12-21 09:56:24","-","81859","1","57932","-","",""
